"","Gene.Symbol","Flu.Immunized.Only.Day.7","Flu.Immunized.Only.Day.7.1","Flu.Immunized.Only.Day.7.2"
"1","A1BG",4.28036463,4.211709228,4.21988986
"2","A1CF",2.922930881,3.316504857,3.004159169
"3","A2M",2.4137671425,2.5528765685,2.2676195955
"4","A2ML1",2.2322139575,2.50346637,2.246292114
"5","AAAS",4.218475638,4.207980654,4.270129853
"6","AACS",5.332673705,4.998220349,5.604253018
"7","AADAC",2.277323627,2.552155587,2.349887929
"8","AADACL2",2.171703389,2.21891353,2.448513292
"9","AADAT",2.410908255,2.47159374,2.63976567
"10","AAK1",4.702831823,4.26115999457143,4.61952925257143
"11","AAMP",6.255329457,6.661759715,6.655080109
"12","AARS",5.790662666,6.099603311,6.594915926
"13","AASDH",5.6718184655,5.241839985,5.6025492985
"14","AASDHPPT",5.43728612766667,5.62460232566667,5.64278316066667
"15","AASS",3.2057660615,2.493981011,3.525647599
"16","AATF",7.738454199,8.044137883,8.10261386
"17","AATK",5.134830071,5.864019264,5.237079151
"18","ABAT",5.314426022,4.72398885933333,4.831888552
"19","ABCA1",4.848387773,5.59166551325,4.35606293925
"20","ABCA12",2.307729422,2.273561812,2.159507997
"21","ABCA13",2.215045504,2.08980869133333,2.25663550766667
"22","ABCA2",2.68022554433333,2.83278831533333,2.49194969266667
"23","ABCA3",3.832431543,3.754875764,3.615562461
"24","ABCA4",2.805988914,2.861440779,2.405136314
"25","ABCA5",5.748635318,5.1557749025,5.5758743715
"26","ABCA6",2.118708793,2.578219446,2.240342688
"27","ABCA7",6.082160144,5.178706509,6.420185094
"28","ABCA8",2.52063686233333,2.503970215,2.23628950333333
"29","ABCA9",2.37205535466667,2.23363422766667,2.35177348733333
"30","ABCB1",4.446367473,3.6678851865,4.384205962
"31","ABCB10",7.11074209,7.037889094,7.153146991
"32","ABCB11",2.6456043115,2.3934078495,2.247769446
"33","ABCB4",3.584085706,3.5488603205,4.3509938285
"34","ABCB5",2.39212186,2.5338652765,2.41733897575
"35","ABCB6",2.5828632955,2.724393698,2.96111405
"36","ABCB7",7.912555599,7.840687055,8.029534173
"37","ABCB9",2.72350094466667,2.557603302,3.123085841
"38","ABCC1",6.656694553,6.715685458,7.014435049
"39","ABCC10",5.7222318435,5.555646177,5.859041893
"40","ABCC11",2.407260162,2.614032195,2.357059303
"41","ABCC12",2.157936329,2.4163236635,2.2091590565
"42","ABCC13",2.943357671,3.4782712065,2.635424836
"43","ABCC3",4.40418513266667,4.90957845566667,3.98397899333333
"44","ABCC4",5.0790181385,4.53440395125,4.24339938075
"45","ABCC5",4.77283991333333,4.67026800233333,4.82233162933333
"46","ABCC8",2.7849725405,2.792464248,2.774007835
"47","ABCC9",2.3383479984,2.5590371724,2.4308895924
"48","ABCD1",3.078117632,2.986176214,3.0134070165
"49","ABCD2",3.330568994,2.680033762,3.517862119
"50","ABCD3",6.801516892,7.0154101235,6.7796649295
"51","ABCD4",4.6733996205,4.79042124,4.8380184385
"52","ABCE1",7.349192659,7.3733375315,7.744537544
"53","ABCF1",7.767348347,8.316505851,7.835317592
"54","ABCF2",4.860253317,4.94844305675,5.36932746225
"55","ABCF3",5.648256096,6.247453224,5.521024361
"56","ABCG1",3.8231504975,3.8138208055,4.04016781
"57","ABCG5",2.215175981,2.260512164,2.462271215
"58","ABCG8",3.127470313,2.689471482,3.024169366
"59","ABHD1",2.49837829066667,2.375001228,2.46619870233333
"60","ABHD10",6.5540147695,6.3664988715,6.9535399925
"61","ABHD11",3.76825387166667,3.854415524,3.95930125966667
"62","ABHD12",5.37515744433333,5.20863504966667,5.08148712033333
"63","ABHD12B",2.4046170535,2.1965210295,2.221471957
"64","ABHD13",6.0820872595,6.3566196225,5.8674660955
"65","ABHD14B",5.418854066,5.778801968,5.822356147
"66","ABHD2",5.53179862866667,5.49822620383333,5.3050503465
"67","ABHD3",7.824255624,7.231379109,8.224888016
