"proteinType","proteinSearched","todaysDate"
"FLT3","blast","Wed Aug 05 08:48:23 2020"
"KIT","blast","Wed Aug 05 08:48:23 2020"
"JAK2","blast","Wed Aug 05 08:48:23 2020"
"NPM1","blast","Wed Aug 05 08:48:23 2020"
"ABL1","blast","Wed Aug 05 08:48:23 2020"
"RUNX1","blast","Wed Aug 05 08:48:23 2020"
"TET2","blast","Wed Aug 05 08:48:23 2020"
"GATA1","blast","Wed Aug 05 08:48:23 2020"
"ETV6","blast","Wed Aug 05 08:48:23 2020"
"ASXL1","blast","Wed Aug 05 08:48:23 2020"
"SETBP1","blast","Wed Aug 05 08:48:23 2020"
"GATA2","blast","Wed Aug 05 08:48:23 2020"
"KRAS","blast","Wed Aug 05 08:48:23 2020"
"TP53","blast","Wed Aug 05 08:48:23 2020"
"BCR","blast","Wed Aug 05 08:48:23 2020"
"KMT2A","blast","Wed Aug 05 08:48:23 2020"
"U2AF1","blast","Wed Aug 05 08:48:23 2020"
"CEBPA","blast","Wed Aug 05 08:48:23 2020"
"MECOM","blast","Wed Aug 05 08:48:23 2020"
"DNMT3A","blast","Wed Aug 05 08:48:23 2020"
"MYB","blast","Wed Aug 05 08:48:23 2020"
"CBFB","blast","Wed Aug 05 08:48:23 2020"
"CSF3","blast","Wed Aug 05 08:48:23 2020"
"NRAS","blast","Wed Aug 05 08:48:23 2020"
"HRAS","blast","Wed Aug 05 08:48:23 2020"
