"proteinType","proteinSearched","todaysDate"
"ESR1","estrogen","Thu Jul 30 10:49:36 2020"
"ESR2","estrogen","Thu Jul 30 10:49:36 2020"
"CYP19A1","estrogen","Thu Jul 30 10:49:36 2020"
"GPER1","estrogen","Thu Jul 30 10:49:36 2020"
"AR","estrogen","Thu Jul 30 10:49:36 2020"
"PGR","estrogen","Thu Jul 30 10:49:36 2020"
"ESRRG","estrogen","Thu Jul 30 10:49:36 2020"
"ERBB2","estrogen","Thu Jul 30 10:49:36 2020"
"ESRRA","estrogen","Thu Jul 30 10:49:36 2020"
"TP53","estrogen","Thu Jul 30 10:49:36 2020"
"SULT1E1","estrogen","Thu Jul 30 10:49:36 2020"
"CYP17A1","estrogen","Thu Jul 30 10:49:36 2020"
"AKT1","estrogen","Thu Jul 30 10:49:36 2020"
"BRCA1","estrogen","Thu Jul 30 10:49:36 2020"
"SHBG","estrogen","Thu Jul 30 10:49:36 2020"
"ESRRB","estrogen","Thu Jul 30 10:49:36 2020"
"PTEN","estrogen","Thu Jul 30 10:49:36 2020"
"BCAR3","estrogen","Thu Jul 30 10:49:36 2020"
"STS","estrogen","Thu Jul 30 10:49:36 2020"
"GNRH1","estrogen","Thu Jul 30 10:49:36 2020"
"PIK3CA","estrogen","Thu Jul 30 10:49:36 2020"
"BCAR1","estrogen","Thu Jul 30 10:49:36 2020"
"IGF1","estrogen","Thu Jul 30 10:49:36 2020"
"EGFR","estrogen","Thu Jul 30 10:49:36 2020"
"WT1","estrogen","Thu Jul 30 10:49:36 2020"
