"proteinType","proteinSearched","todaysDate"
"GJB2","hair-loss","Thu Jul 30 10:50:09 2020"
"DSP","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT74","hair-loss","Thu Jul 30 10:50:09 2020"
"GJB6","hair-loss","Thu Jul 30 10:50:09 2020"
"LPAR6","hair-loss","Thu Jul 30 10:50:09 2020"
"DSG4","hair-loss","Thu Jul 30 10:50:09 2020"
"LIPH","hair-loss","Thu Jul 30 10:50:09 2020"
"EDAR","hair-loss","Thu Jul 30 10:50:09 2020"
"TYR","hair-loss","Thu Jul 30 10:50:09 2020"
"TP53","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT83","hair-loss","Thu Jul 30 10:50:09 2020"
"TNF","hair-loss","Thu Jul 30 10:50:09 2020"
"GJA1","hair-loss","Thu Jul 30 10:50:09 2020"
"IL6","hair-loss","Thu Jul 30 10:50:09 2020"
"TP63","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT25","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT71","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT85","hair-loss","Thu Jul 30 10:50:09 2020"
"KRT86","hair-loss","Thu Jul 30 10:50:09 2020"
"LMNA","hair-loss","Thu Jul 30 10:50:09 2020"
"IL10","hair-loss","Thu Jul 30 10:50:09 2020"
"CDSN","hair-loss","Thu Jul 30 10:50:09 2020"
"IL1B","hair-loss","Thu Jul 30 10:50:09 2020"
"HOXC13","hair-loss","Thu Jul 30 10:50:09 2020"
"MITF","hair-loss","Thu Jul 30 10:50:09 2020"
