"proteinType","proteinSearched","todaysDate"
"RAG1","immunity","Thu Jul 30 10:50:39 2020"
"IL10","immunity","Thu Jul 30 10:50:39 2020"
"IFNG","immunity","Thu Jul 30 10:50:39 2020"
"IL6","immunity","Thu Jul 30 10:50:39 2020"
"CD40LG","immunity","Thu Jul 30 10:50:39 2020"
"RAG2","immunity","Thu Jul 30 10:50:39 2020"
"IL2RA","immunity","Thu Jul 30 10:50:39 2020"
"TLR2","immunity","Thu Jul 30 10:50:39 2020"
"HLA-DRB1","immunity","Thu Jul 30 10:50:39 2020"
"CTLA4","immunity","Thu Jul 30 10:50:39 2020"
"FOXP3","immunity","Thu Jul 30 10:50:39 2020"
"TLR4","immunity","Thu Jul 30 10:50:39 2020"
"JAK3","immunity","Thu Jul 30 10:50:39 2020"
"TNFRSF13B","immunity","Thu Jul 30 10:50:39 2020"
"STAT1","immunity","Thu Jul 30 10:50:39 2020"
"CD79A","immunity","Thu Jul 30 10:50:39 2020"
"TNF","immunity","Thu Jul 30 10:50:39 2020"
"IL7R","immunity","Thu Jul 30 10:50:39 2020"
"CD40","immunity","Thu Jul 30 10:50:39 2020"
"STAT3","immunity","Thu Jul 30 10:50:39 2020"
"CD19","immunity","Thu Jul 30 10:50:39 2020"
"FAS","immunity","Thu Jul 30 10:50:39 2020"
"ACP5","immunity","Thu Jul 30 10:50:39 2020"
"TLR3","immunity","Thu Jul 30 10:50:39 2020"
"FASLG","immunity","Thu Jul 30 10:50:39 2020"
