"proteinType","proteinSearched","todaysDate"
"PTEN","tumor","Thu Jul 30 10:50:04 2020"
"TP53","tumor","Thu Jul 30 10:50:04 2020"
"KIT","tumor","Thu Jul 30 10:50:04 2020"
"WT1","tumor","Thu Jul 30 10:50:04 2020"
"PDGFRA","tumor","Thu Jul 30 10:50:04 2020"
"SMARCA4","tumor","Thu Jul 30 10:50:04 2020"
"SDHB","tumor","Thu Jul 30 10:50:04 2020"
"CDKN2A","tumor","Thu Jul 30 10:50:04 2020"
"BAP1","tumor","Thu Jul 30 10:50:04 2020"
"CTNNB1","tumor","Thu Jul 30 10:50:04 2020"
"TNF","tumor","Thu Jul 30 10:50:04 2020"
"SMARCB1","tumor","Thu Jul 30 10:50:04 2020"
"APC","tumor","Thu Jul 30 10:50:04 2020"
"BRCA2","tumor","Thu Jul 30 10:50:04 2020"
"SDHC","tumor","Thu Jul 30 10:50:04 2020"
"NF1","tumor","Thu Jul 30 10:50:04 2020"
"MEN1","tumor","Thu Jul 30 10:50:04 2020"
"CCND1","tumor","Thu Jul 30 10:50:04 2020"
"ERBB2","tumor","Thu Jul 30 10:50:04 2020"
"GPC3","tumor","Thu Jul 30 10:50:04 2020"
"MDM2","tumor","Thu Jul 30 10:50:04 2020"
"EGFR","tumor","Thu Jul 30 10:50:04 2020"
"AKT1","tumor","Thu Jul 30 10:50:04 2020"
"KRAS","tumor","Thu Jul 30 10:50:04 2020"
"HRAS","tumor","Thu Jul 30 10:50:04 2020"
