"","ID","GB_ACC","Representative.Public.ID","Gene.Title","Gene.Symbol","ENTREZ_GENE_ID","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097"
"1","1007_s_at","U48705","U48705","discoidin domain receptor tyrosine kinase 1 /// microRNA 4640","DDR1 /// MIR4640","780 /// 100616237","212.9","289.7","242.4","230.7","235.5"
"2","1053_at","M87338","M87338","replication factor C (activator 1) 2, 40kDa","RFC2","5982","52.6","15","57.9","20.4","43.6"
"3","117_at","X51757","X51757","heat shock 70kDa protein 6 (HSP70B')","HSPA6","3310","30.4","32.3","43.7","35.7","66.2"
"4","121_at","X69699","X69699","paired box 8","PAX8","7849","226.7","376.9","285.5","313.1","325.3"
"5","1255_g_at","L36861","L36861","guanylate cyclase activator 1A (retina)","GUCA1A","2978","23.6","30.4","2.6","29.7","29.1"
"6","1294_at","L13852","L13852","microRNA 5193 /// ubiquitin-like modifier activating enzyme 7","MIR5193 /// UBA7","7318 /// 100847079","90.3","157.1","139.6","144.1","140.9"
"7","1316_at","X55005","X55005","thyroid hormone receptor, alpha","THRA","7067","39.4","61.4","45.9","60.6","62.5"
"8","1320_at","X79510","X79510","protein tyrosine phosphatase, non-receptor type 21","PTPN21","11099","28.5","34.8","41.9","37.3","18.9"
"9","1405_i_at","M21121","M21121","chemokine (C-C motif) ligand 5","CCL5","6352","13.8","17.1","17.6","7.2","3.8"
"10","1431_at","J02843","J02843","cytochrome P450, family 2, subfamily E, polypeptide 1","CYP2E1","1571","17.3","28.8","27.3","28.4","17.3"
"11","1438_at","X75208","X75208","EPH receptor B3","EPHB3","2049","195.3","123.2","76.3","126.3","149.5"
"12","1487_at","L38487","L38487","estrogen-related receptor alpha","ESRRA","2101","102","121.2","94.3","121.4","127.1"
"13","1494_f_at","M33318","M33318","cytochrome P450, family 2, subfamily A, polypeptide 6","CYP2A6","1548","37.3","121.6","101.6","81.1","113.7"
"14","1598_g_at","L13720","L13720","growth arrest-specific 6","GAS6","2621","1432.2","1632.7","1093.6","921.7","1060.4"
"15","160020_at","Z48481","Z48481","matrix metallopeptidase 14 (membrane-inserted)","MMP14","4323","617.8","249.6","204.7","400.4","583.6"
"16","1729_at","L41690","L41690","TNFRSF1A-associated via death domain","TRADD","8717","143.4","88","122.2","121","132.6"
"17","177_at","U38545","U38545","phospholipase D1, phosphatidylcholine-specific","PLD1","5337","33.6","40.9","36.3","51.8","31.7"
"18","1773_at","L00635","L00635","CHURC1-FNTB readthrough /// farnesyltransferase, CAAX box, beta","CHURC1-FNTB /// FNTB","2342 /// 100529261","54","56.7","40.5","51.5","54.7"
"19","179_at","U38980","U38980","DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene","DTX2P1-UPK3BP1-PMS2P11","441263","110","249.8","178","223.1","239.7"
"20","1861_at","U66879","U66879","BCL2-associated agonist of cell death","BAD","572","52.9","87.4","57.8","92.4","80.2"
"21","200000_s_at","NM_006445","NM_006445","pre-mRNA processing factor 8","PRPF8","10594","433.9","532.4","488.7","327.8","357.3"
"22","200001_at","NM_001749","NM_001749","calpain, small subunit 1","CAPNS1","826","1068.8","856.5","951.7","958.2","1128.8"
"23","200002_at","NM_007209","NM_007209","ribosomal protein L35","RPL35","11224","3601.3","2509.6","3122.9","2466.5","2602.7"
"24","200003_s_at","NM_000991","NM_000991","microRNA 6805 /// ribosomal protein L28","MIR6805 /// RPL28","6158 /// 102465483","4026.7","2859.7","2801.4","3667.3","4359.5"
"25","200004_at","NM_001418","NM_001418","eukaryotic translation initiation factor 4 gamma, 2","EIF4G2","1982","2574.1","2029.2","2271.9","2403.1","1971.7"
"26","200005_at","NM_003753","NM_003753","eukaryotic translation initiation factor 3, subunit D","EIF3D","8664","891.1","870.4","989.9","763.1","856.3"
"27","200006_at","NM_007262","NM_007262","parkinson protein 7","PARK7","11315","1124.8","1583.4","1370.2","1910","2147.6"
"28","200007_at","NM_003134","NM_003134","signal recognition particle 14kDa (homologous Alu RNA binding protein)","SRP14","6727","2138.1","1984.9","2180.1","2150.3","2110.2"
"29","200008_s_at","D13988","D13988","GDP dissociation inhibitor 2","GDI2","2665","831.3","517.1","587","489.9","281.2"
"30","200009_at","NM_001494","NM_001494","GDP dissociation inhibitor 2","GDI2","2665","1740.2","1356.5","1484.2","1494.6","1344.9"
"31","200010_at","NM_000975","NM_000975","ribosomal protein L11","RPL11","6135","1714.5","3311.8","3730","4014.3","4435.8"
"32","200011_s_at","NM_001659","NM_001659","ADP-ribosylation factor 3","ARF3","377","370.1","338.5","360.7","348.7","277.4"
"33","200012_x_at","NM_000982","NM_000982","ribosomal protein L21 /// ribosomal protein L21 pseudogene 28 /// small nucleolar RNA, H/ACA box 27 /// small nucleolar RNA, C/D box 102","RPL21 /// RPL21P28 /// SNORA27 /// SNORD102","6144 /// 26771 /// 619499 /// 100131205","4731.9","4125.5","4695.9","3193","3291.5"
"34","200013_at","NM_000986","NM_000986","ribosomal protein L24","RPL24","6152","3399.8","4353.9","4517.1","3551.7","4181.1"
"35","200014_s_at","NM_004500","NM_004500","heterogeneous nuclear ribonucleoprotein C (C1/C2)","HNRNPC","3183","441.2","480.9","594.3","519.4","519.9"
"36","200015_s_at","NM_004404","NM_004404","septin 2","2-Sep","4735","1025.6","977.8","1127.5","1380.3","1480.4"
"37","200016_x_at","NM_002136","NM_002136","heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 10","HNRNPA1 /// HNRNPA1P10","3178 /// 664709","3424.8","4057.1","4056.5","3811.8","4108.1"
"38","200017_at","NM_002954","NM_002954","ribosomal protein S27a","RPS27A","6233","3070.8","5259.6","5855","3585.2","4092.1"
"39","200018_at","NM_001017","NM_001017","uncharacterized LOC100508408 /// ribosomal protein S13 /// small nucleolar RNA, C/D box 14B","LOC100508408 /// RPS13 /// SNORD14B","6207 /// 85388 /// 100508408","4363.2","4906.5","6155.7","4389","5028.5"
"40","200019_s_at","NM_001997","NM_001997","Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed","FAU","2197","3357.4","3363.2","3575.2","3289.8","3624.2"
