"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"DDR1 /// MIR4640",212.9,289.7,242.4,230.7,235.5,"DDR1","MIR4640",NA
"RFC2",52.6,15,57.9,20.4,43.6,"RFC2",NA,NA
"HSPA6",30.4,32.3,43.7,35.7,66.2,"HSPA6",NA,NA
"PAX8",226.7,376.9,285.5,313.1,325.3,"PAX8",NA,NA
"GUCA1A",23.6,30.4,2.6,29.7,29.1,"GUCA1A",NA,NA
"MIR5193 /// UBA7",90.3,157.1,139.6,144.1,140.9,"MIR5193","UBA7",NA
"THRA",39.4,61.4,45.9,60.6,62.5,"THRA",NA,NA
"PTPN21",28.5,34.8,41.9,37.3,18.9,"PTPN21",NA,NA
"CCL5",13.8,17.1,17.6,7.2,3.8,"CCL5",NA,NA
"CYP2E1",17.3,28.8,27.3,28.4,17.3,"CYP2E1",NA,NA
"EPHB3",195.3,123.2,76.3,126.3,149.5,"EPHB3",NA,NA
"ESRRA",102,121.2,94.3,121.4,127.1,"ESRRA",NA,NA
"CYP2A6",37.3,121.6,101.6,81.1,113.7,"CYP2A6",NA,NA
"GAS6",1432.2,1632.7,1093.6,921.7,1060.4,"GAS6",NA,NA
"MMP14",617.8,249.6,204.7,400.4,583.6,"MMP14",NA,NA
"TRADD",143.4,88,122.2,121,132.6,"TRADD",NA,NA
"PLD1",33.6,40.9,36.3,51.8,31.7,"PLD1",NA,NA
"CHURC1-FNTB /// FNTB",54,56.7,40.5,51.5,54.7,"CHURC1-FNTB","FNTB",NA
"DTX2P1-UPK3BP1-PMS2P11",110,249.8,178,223.1,239.7,"DTX2P1-UPK3BP1-PMS2P11",NA,NA
"BAD",52.9,87.4,57.8,92.4,80.2,"BAD",NA,NA
"PRPF8",433.9,532.4,488.7,327.8,357.3,"PRPF8",NA,NA
"CAPNS1",1068.8,856.5,951.7,958.2,1128.8,"CAPNS1",NA,NA
"RPL35",3601.3,2509.6,3122.9,2466.5,2602.7,"RPL35",NA,NA
"MIR6805 /// RPL28",4026.7,2859.7,2801.4,3667.3,4359.5,"MIR6805","RPL28",NA
"EIF4G2",2574.1,2029.2,2271.9,2403.1,1971.7,"EIF4G2",NA,NA
"EIF3D",891.1,870.4,989.9,763.1,856.3,"EIF3D",NA,NA
"PARK7",1124.8,1583.4,1370.2,1910,2147.6,"PARK7",NA,NA
"SRP14",2138.1,1984.9,2180.1,2150.3,2110.2,"SRP14",NA,NA
"GDI2",831.3,517.1,587,489.9,281.2,"GDI2",NA,NA
"GDI2",1740.2,1356.5,1484.2,1494.6,1344.9,"GDI2",NA,NA
"RPL11",1714.5,3311.8,3730,4014.3,4435.8,"RPL11",NA,NA
"ARF3",370.1,338.5,360.7,348.7,277.4,"ARF3",NA,NA
"RPL21 /// RPL21P28 /// SNORA27 /// SNORD102",4731.9,4125.5,4695.9,3193,3291.5,"RPL21","RPL21P28","SNORA27"
"RPL24",3399.8,4353.9,4517.1,3551.7,4181.1,"RPL24",NA,NA
"HNRNPC",441.2,480.9,594.3,519.4,519.9,"HNRNPC",NA,NA
