"","healthy_sample1","healthy_sample2","healthy_sample3","healthy_sample4","healthy_sample5","healthy_sample6","healthy_mean","flu7_mean","flu1_mean","flu7_FC","flu1_FC"
"IL6",3.532790656,3.506112157,3.86222465,10.84792242,7.352171523,6.917781821,6.0031672045,11.2822187166667,5.06558124266667,1.87937772384708,0.843818116355228
"IL12B",2.859991,2.985050179,2.582880752,6.932015541,2.862625673,2.727427992,3.4916651895,6.114038651,2.69634529233333,1.75103806326732,0.772223322110516
"PLA1A",2.783971358,2.938718006,2.927507431,6.053301373,4.466491903,3.871127452,3.84018625383333,6.52876007333333,3.45323637333333,1.70011547403885,0.899236689336685
"CCL20",3.358975429,3.505948102,4.622151998,10.91733028,10.39516801,7.341818873,6.69023211533333,10.8539113933333,6.34839694666667,1.62235199111512,0.948905335005759
"CXCL3",2.800062679,3.14792667,3.577130999,7.197022761,6.911485488,2.724020444,4.39294150683333,7.12062984533333,3.21550231366667,1.62092525799786,0.731970209178718
"IL1A",3.3466067915,3.0865452885,3.5999094955,7.3636303315,5.5521236595,3.9108161225,4.4766052815,6.96457328133333,3.79688439683333,1.55577113535453,0.848161532696287
"IFNB1",2.745418193,2.842193831,3.033243159,6.283624671,2.660872229,2.298769307,3.31068689833333,5.137388219,2.33411919966667,1.55175900855688,0.70502565520216
"CXCL1",4.035740185,3.614128196,4.733441636,8.560762207,7.880634308,3.08226881,5.31782922366667,7.91820632466667,3.75383068133333,1.48899221686683,0.705895304916364
"MN1",3.752404183,3.595350162,4.361878833,5.563544871,3.261076382,3.864002533,4.06637616066667,5.92516612166667,3.70728790333333,1.45711215282534,0.911693300583766
"CCL2",2.943400347,3.020114106,2.996590915,5.582259457,3.973206729,2.856823489,3.5620658405,5.13011775866667,2.96496318166667,1.4402085723229,0.832371807380877
"TPPP3",4.158309666,3.923551651,4.068103408,4.75546871,4.128901053,3.825178596,4.14325218066667,4.10738387166667,5.051876366,0.991342957793549,1.21930216788956
