"Gene.Symbol","Flu.non.immunized.healthy","Flu.non.immunized.healthy.1","Flu.non.immunized.healthy.2","Flu.non.immunized.healthy.3","Flu.non.immunized.healthy.4","Flu.non.immunized.healthy.5"
"A1BG",4.022283502,4.256802347,4.373453083,4.02191651,4.39810383,4.03572013
"A1CF",3.189059841,3.092595325,3.588690553,3.134153172,2.959021597,3.14934218
"A2M",3.270109873,3.1174911215,3.231921998,2.364400968,2.302118084,2.3109502735
"A2ML1",2.8880583295,2.7483430035,2.7635646055,2.4039534995,2.319035303,2.668853429
"AAAS",4.319928742,4.680657316,4.55941657,4.303755373,4.157257789,3.471549616
"AACS",6.487653004,6.178077371,6.1764997,4.922307796,5.548462119,5.412336054
"AADAC",3.16557461,3.098692445,3.054357124,2.390342786,2.400538774,2.669397923
"AADACL2",2.88741983,2.955249836,3.126431643,2.338787773,2.432338964,2.911866864
"AADAT",3.426392328,3.352449416,2.815492734,2.330560145,2.938831318,2.998132295
"AAK1",5.509878149,5.56970983928571,5.63116145071429,4.68738489457143,4.51373314842857,4.78829200242857
"AAMP",7.306330011,7.204722709,7.27781114,6.293009615,6.529757088,6.510688751
"AARS",6.855099011,7.017088637,6.375103027,5.694417163,6.515719312,6.206124469
"AASDH",6.66243072,7.0396126505,6.406359101,5.4047026525,6.158222908,5.8370684485
"AASDHPPT",6.43441286,6.61000762266667,6.29272444766667,5.42966142433333,5.90955661466667,5.79623576866667
"AASS",3.674322885,3.613974712,3.5063034415,3.1737060535,2.7869035775,3.3671549385
"AATF",8.695800852,8.055461069,8.134821129,7.927470886,7.835941412,8.204823848
"AATK",5.458404421,5.900929882,5.860555914,5.646122769,5.644045066,4.685247145
"ABAT",6.21324585366667,6.32532158666667,6.087866571,5.613758923,5.01355550066667,4.81575455833333
"ABCA1",4.45361533125,4.64631911325,5.211898756,4.58041296875,4.56885896175,4.387574812
"ABCA12",2.713315448,2.705328856,2.622911652,2.352551471,2.142071859,2.472524907
"ABCA13",2.640856164,2.806886508,2.663567542,2.286587739,2.072805012,2.390635719
"ABCA2",3.26622965866667,3.35995293166667,3.31281274966667,2.677527079,2.63247928733333,2.49452800733333
"ABCA3",3.501869321,3.65137629,4.08429162,4.415211868,4.483785272,3.523105348
"ABCA4",3.360065929,3.104820343,3.0152292645,2.4252278675,2.614347401,2.6428425295
"ABCA5",6.2226922205,6.5220326775,6.6178370325,4.9917741665,4.848267622,5.615481063
"ABCA6",2.650216258,2.732813965,2.638043298,2.203574602,1.990279045,1.909865025
"ABCA7",6.352272804,6.497606564,6.235483165,6.255833976,5.524337935,6.184007009
"ABCA8",3.03592113133333,2.79114924133333,2.86348411866667,2.445032561,2.28383467033333,2.26356304
"ABCA9",2.795273118,2.935342896,2.83987677,2.47908148166667,2.55186136433333,2.33566982466667
"ABCB1",5.4258546745,5.226565883,5.136245453,4.4703146455,4.2739527745,4.642190085
"ABCB10",8.536575637,8.322366272,8.242670904,7.197428481,6.963731847,6.6968185
