"Gene.Symbol","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","first","second","third"
"DDR1 /// MIR4640",258.9,241.8,213.8,298.1,232.2,"DDR1","MIR4640",NA
"RFC2",53.7,40.4,47.8,45.3,36,"RFC2",NA,NA
"HSPA6",66.5,30.3,59.7,54.3,59.1,"HSPA6",NA,NA
"PAX8",425.5,479.3,235.3,417.7,342.3,"PAX8",NA,NA
"GUCA1A",17.8,28.6,8,38.4,19.2,"GUCA1A",NA,NA
"MIR5193 /// UBA7",203.8,162,164.9,146.4,187.4,"MIR5193","UBA7",NA
"THRA",35.1,50,43.2,56.4,22.1,"THRA",NA,NA
"PTPN21",65.6,66.6,70.1,83.5,64,"PTPN21",NA,NA
"CCL5",29.5,10.5,12.5,17.3,20.5,"CCL5",NA,NA
"CYP2E1",24,31.6,22.7,38.5,19.2,"CYP2E1",NA,NA
"EPHB3",86,49.3,54.6,119.7,103.5,"EPHB3",NA,NA
"ESRRA",116.2,67.6,107.6,161,95.1,"ESRRA",NA,NA
"CYP2A6",118.6,54.3,51.5,73.5,43.4,"CYP2A6",NA,NA
"GAS6",1489.2,1203,1921.1,1258.5,1649.2,"GAS6",NA,NA
"MMP14",333.4,342.7,485.4,307.3,222.1,"MMP14",NA,NA
"TRADD",125.9,119.6,162.3,107.9,105.2,"TRADD",NA,NA
"PLD1",38,24,42.4,53.1,40.1,"PLD1",NA,NA
"CHURC1-FNTB /// FNTB",62.6,48.1,58.7,66.6,49.8,"CHURC1-FNTB","FNTB",NA
"DTX2P1-UPK3BP1-PMS2P11",226.3,134.3,199,321.7,333,"DTX2P1-UPK3BP1-PMS2P11",NA,NA
"BAD",69.4,57,63.5,70.6,76.6,"BAD",NA,NA
"PRPF8",480,532.7,510.7,395.1,363.6,"PRPF8",NA,NA
"CAPNS1",820.1,1309.7,1510.3,966.6,1256.6,"CAPNS1",NA,NA
"RPL35",2818.3,2790.3,2822.2,2730.6,2491.3,"RPL35",NA,NA
"MIR6805 /// RPL28",3092.9,2611.9,2999.1,3078.5,2985.9,"MIR6805","RPL28",NA
"EIF4G2",1805.9,1732.4,1748.7,1854.3,1869.6,"EIF4G2",NA,NA
"EIF3D",805.3,971.8,980.1,669.6,822.6,"EIF3D",NA,NA
"PARK7",944.2,1102,1163.2,1210.7,1565.2,"PARK7",NA,NA
"SRP14",1519.3,1923.1,1591,1947.3,2084.2,"SRP14",NA,NA
"GDI2",582.7,636.1,681.2,510.3,589,"GDI2",NA,NA
"GDI2",1139.3,1120.3,1556.6,980.5,1292.4,"GDI2",NA,NA
"RPL11",3441.2,2308.1,2353.1,2335.6,2480.2,"RPL11",NA,NA
"ARF3",407.4,276.9,353.4,497.3,515,"ARF3",NA,NA
"RPL21 /// RPL21P28 /// SNORA27 /// SNORD102",4263,4305.1,3991.5,3835.3,3727.7,"RPL21","RPL21P28","SNORA27"
